MATNR,YE49_plus_7
ID1028842,"344,09"
ID974996,"237,56"
ID754517,"47,25"
ID754857,"30,46"
ID737788,"371,02"
ID936563,"191,99"
ID948913,"72,45"
G12408,"74,04"
G28587,"97,59"
G34364,"416,89"
ID1001955,"3,55"
ID1001978,"76,10"
G06329,"7,35"
G07526,"3,50"
G40421,"33,23"
G40631CG,"42,45"
G45219,"6,28"
G13460,"49,52"
G23376,"50,09"
ID981102,"42,50"
ID1004688,"29,39"
ID960183,"240,61"
ID1002096,"23,99"
ID1028713,"102,04"
ID1015815,"153,90"
ID1002156,"10,68"
ID1002159,"5,19"
ID1002064,"24,70"
ID1002113,"80,71"
ID952602,"108,35"
ID952615,"17,00"
ID952624,"34,03"
ID1004733,"6,13"
ID1002020,"23,99"
ID1002031,"19,89"
G28623,"27,82"
ID1004711,"36,72"
ID1004759,"31,93"
ID1001969,"12,74"
ID1002061,"24,70"
G47249,"43,05"
G47371,"42,37"
G37092,"23,14"
G38732TI,"55,43"
G45060,"19,89"
G45934,"7,82"
G18383002,"15,52"
G19131,"25,38"
G19332,"32,40"
G26330,"46,13"
G34021,"533,57"
G34065002,"121,08"
ID605355,"108,13"
ID931708,"61,21"
ID931711,"76,13"
ID760862,"57,59"
ID952616,"21,10"
ID796714,"219,25"
ID796905,"53,99"
G12434,"77,75"
G27596,"7,89"
G27672,"59,25"
G28034,"68,80"
ID953559,"393,17"
G00479,"2,39"
ID697774,"30,33"
G40376,"62,30"
G27277001,"114,03"
G12901P,"7,35"
G38915MW,"382,24"
G37063,"41,66"
ID1001995,"79,28"
G31368,"72,52"
G19952,"78,38"
ID796839,"517,18"
G45258,"8,24"
ID1022012,"46,07"
ID952621,"26,04"
G34464001,"213,70"
G06707,"16,61"
G18700,"23,80"
ID1029921,"20,70"
G23431LS0,"202,54"
G27447,"53,99"
ID952579,"82,66"
G32663001,"133,53"
G06688,"6,38"
G38587,"235,73"
ID935997,"120,23"
G02426P,"3,50"
FG32270,"69,43"
ID796621,"26,41"
G23317,"256,13"
G48189,"7,43"
ID728889,"93,12"
G48052,"4,87"
G19791,"287,85"
G19309,"365,49"
G32204,"66,19"
G45885,"23,49"
G28362,"6,69"
G37043,"20,79"
G34276,"233,91"
ID1004743,"42,05"
G08201,"62,41"
G37321SH1,"282,79"
G30030,"43,02"
G28002,"90,56"
ID1022025,"257,75"
ID796874,"46,89"
G32628001,"95,26"
G32870,"8,62"
G27467,"344,68"
ID1002090,"12,36"
G27374,"790,57"
G23448002,"91,45"
ID1021948,"28,02"
G20195,"347,72"
G25483,"74,27"
G19394,"236,20"
ID697555,"298,36"
G23029,"264,51"
G01490,"10,46"
ID1001992,"142,70"
G27174001,"733,66"
G27276,"53,99"
G45654,"2,73"
ID796864,"41,18"
G38698SD1,"282,79"
G38519001,"228,97"
ID796784,"118,88"
G27784,"56,57"
G32792,"188,99"
G43438,"14,02"
G37038,"16,12"
ID605370,"289,68"
G30193,"54,88"
ID1021974,"14,94"
G41125,"7,20"
ID931692,"134,06"
G47349,"64,49"
G43545,"7,82"
G37349,"122,40"
G19386,"387,00"
ID1002135,"31,85"
G27862,"363,08"
G43507,"2,59"
ID952572,"110,23"
ID1021993,"223,22"
G31124002,"118,34"
G38563,"24,72"
G36317,"130,73"
G32778,"121,45"
