idartikel,MegabildNr,Lieferantename,title,description,stock,price
33300001,G33300001,GROHE,"Grohe Eurosmart Einhand Wannen-","batterie, chrom EH-Wannenbatterie Eurosmart 33300",21,112.73
30079000,G30079,GROHE,"Grohe Red EH-Spültischmischer","8L Boiler, chrom Duo Armatur und Kombi-Boiler (8 Liter)",1,1296.38
28384000,G28384,GROHE,"Grohe Rainshower Brausearm retro","chrom Rustic Brausearm",0,181.5
32628000,G32628,GROHE,"Grohe Essence Einhand-Waschtischbatterie","chrom Einhand-WT-Batterie Essence 32628",0,270.6
15074400,HG15074WC,HANSGROHE,"HG PuraVida Waschtischmischer ","weiß/chrom mit Zugstange Einhebel-Waschtischmischer",0,504.6
2766300,G27663,GROHE,"Grohe Power & Soul Cosmopolitan","Handbrause 130, chrom Handbrause 130",12,112.13
